2

path_8211
107
16.413	176.971	85.1589		1.87274	-0.510797
16.413	176.971	85.1589		1.87274	-0.510797
16.413	176.971	85.1589		1.87274	-0.510797
16.413	176.971	85.1589		1.87274	-0.510797
14.4116	175.796	84.5355		1.87274	-0.510797
10.4289	173.459	83.295		1.87274	-0.510797
6.41296	171.101	82.0442		1.87274	-0.510797
2.49335	168.801	80.8233		1.87274	-0.510797
-1.38836	166.517	79.5822		1.88274	-0.510797
-5.39412	164.158	78.2905		1.88274	-0.510797
-9.27568	161.864	76.992		1.90274	-0.510797
-12.8852	159.756	75.6451		1.95274	-0.490797
-16.759	157.635	73.7744		2.05274	-0.440797
-20.35	155.734	71.8841		2.06274	-0.430797
-23.7627	153.991	70.0111		2.07274	-0.420797
-26.9092	152.385	68.2842		2.07274	-0.420797
-32.4115	149.576	65.2644		2.07274	-0.420797
-38.0444	146.701	62.1729		2.07274	-0.420797
-43.341	144.087	59.1685		2.12274	-0.370797
-48.8872	141.555	55.7532		2.12274	-0.370797
-53.6689	139.423	52.8087		2.12274	-0.360797
-58.9103	137.142	49.4907		2.14274	-0.340797
-65.9097	134.229	44.8694		2.17274	-0.320797
-72.9792	131.424	39.5406		2.27274	-0.280797
-79.2792	129.15	33.6656		2.33274	-0.250797
-84.9045	127.158	28.2981		2.33274	-0.250797
-90.7889	125.074	22.6835		2.33274	-0.250797
-98.42	122.372	15.4022		2.33274	-0.250797
-106.273	119.652	7.8063		2.36274	-0.220797
-113.393	117.71	-0.193862		2.44274	-0.150797
-120.497	116.249	-8.80063		2.46274	-0.110797
-126.824	115.115	-16.7918		2.47274	-0.110797
-133.791	113.946	-25.7554		2.48274	-0.100797
-141.477	112.676	-35.6818		2.48274	-0.100797
-149.017	111.43	-45.4206		2.48274	-0.100797
-157.381	110.176	-56.264		2.49274	-0.0707971
-165.16	109.263	-66.5211		2.49274	-0.0707971
-173.367	108.3	-77.3421		2.49274	-0.0707971
-181.238	107.596	-87.7211		2.49274	-0.0407971
-188.962	107.163	-97.9057		2.49274	-0.0307971
-197.113	106.832	-108.654		2.49274	-0.0207971
-205.316	106.549	-119.47		2.49274	-0.0207971
-213.282	106.292	-129.511		2.45274	-0.0107971
-222.017	106.148	-139.585		2.41274	-0.0107971
-230.584	106.264	-148.851		2.38274	0.00920286
-239.711	106.398	-158.045		2.34274	0.0192029
-248.58	106.76	-166.099		2.28274	0.0492029
-258.632	107.572	-174.307		2.23274	0.0692029
-268.838	108.55	-182.082		2.21274	0.0792029
-279.538	109.598	-189.813		2.17274	0.0792029
-290.531	110.633	-197.175		2.13274	0.0692029
-301.115	111.213	-203.587		2.10274	0.0292029
-313.537	111.053	-210.161		2.03274	-0.0307971
-326.694	110.431	-216.633		2.01274	-0.0607971
-340.198	109.207	-222.696		1.97274	-0.0907971
-354.489	107.514	-227.923		1.91274	-0.110797
-368.066	105.682	-232.145		1.86274	-0.130797
-382.92	103.653	-236.282		1.83274	-0.130797
-397.479	101.67	-240.185		1.83274	-0.130797
-412.381	99.6408	-244.18		1.83274	-0.130797
-426.91	97.6621	-248.076		1.83274	-0.130797
-442.166	95.5843	-252.166		1.83274	-0.130797
-458.429	93.3694	-256.526		1.83274	-0.130797
-474.486	91.1826	-260.831		1.83274	-0.130797
-491.158	88.912	-265.301		1.83274	-0.130797
-507.511	86.7626	-269.46		1.81274	-0.120797
-523.503	85.475	-273.122		1.79274	-0.0707971
-540.588	84.2958	-276.977		1.79274	-0.0607971
-555.704	83.3525	-280.388		1.79274	-0.0607971
-572.287	82.3177	-284.13		1.79274	-0.0607971
-588.11	81.3303	-287.701		1.79274	-0.0607971
-595.71	80.856	-289.416		1.79274	-0.0607971
-595.71	80.856	-289.416		1.79274	-0.0607971
-595.71	80.856	-289.416		1.79274	-0.0607971
-595.71	80.856	-289.416		1.79274	-0.0607971
-595.71	80.856	-289.416		1.79274	-0.0607971

